0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0
1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0	1.5	0
2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0	2.5	0
3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	20.38834869	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	25.27752388	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416	3.5	16.8504416
4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	104.3795777	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	111.2718823	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428	4.5	89.24422428
5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	241.7858707	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	251.3951125	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141	5.5	208.3201141
6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	462.1230002	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	479.2267818	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085	6.5	399.1931085
7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	778.8298577	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	791.369126	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766	7.5	670.9398766
8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1191.848841	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1154.265121	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987	8.5	1029.799987
9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1648.275554	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1536.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923	9.5	1446.773923
